geographic area,LoanAmount_per_100k
Alaska,96852699.9961799
Alabama,76002618.83071561
Arkansas,73443508.97772917
Arizona,59493658.03389408
California,85339540.77644342
Colorado,86998693.74002954
Connecticut,90412589.94193292
Delaware,74983876.38602951
Florida,101261531.32333538
Georgia,110090321.20524877
Hawaii,82981240.79628937
Iowa,107985757.51573849
Idaho,74324799.50944635
Illinois,110228305.52735941
Indiana,67172676.19350906
Kansas,90932555.33122495
Kentucky,61371141.3205624
Louisiana,102929695.17341062
Massachusetts,88306128.13071927
Maryland,78587292.62196395
Maine,87097797.68225679
Michigan,76941121.69977103
Minnesota,91602627.4047916
Missouri,80298072.31413619
Mississippi,93025040.95951574
Montana,103638580.55152127
North Carolina,62863955.693865545
North Dakota,147506395.24964628
Nebraska,118083863.42602378
New Hampshire,88320893.12991495
New Jersey,88037897.27612896
New Mexico,54262652.231213965
Nevada,86987137.72209099
New York,93166896.07559621
Ohio,73166217.88984372
Oklahoma,79937955.13707387
Oregon,76896862.8829289
Pennsylvania,70159658.90286289
Rhode Island,85693605.87499225
South Carolina,69963055.72458799
South Dakota,148151755.02223346
Tennessee,74622694.27300334
Texas,77039226.65523627
Utah,68420218.13761464
Virginia,66522957.44693907
Vermont,96818793.7835181
Washington,71996195.82511173
Wisconsin,77637041.46386963
West Virginia,49423315.74346855
Wyoming,114217892.75426544
